genderpolicy_Response,gender,genderpolicy_2__Response,ResponseId
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1495
Approve,f,Change my behavior causing me to cite more women,942
Approve,NA,Change my behavior causing me to cite more women,815
Approve,NA,Change my behavior causing me to cite more women,84
Approve,f,Change my behavior causing me to cite more women,1337
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,750
Approve,m,Change my behavior causing me to cite more women,246
Approve,NA,Change my behavior causing me to cite more women,1294
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,969
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,372
Approve,NA,Change my behavior causing me to cite more women,7
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,979
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1622
Don't know,NA,Change my behavior causing me to cite more women,693
Approve,NA,Change my behavior causing me to cite more women,822
Approve,m,Change my behavior causing me to cite more women,860
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1534
Approve,NA,Change my behavior causing me to cite more women,515
Approve,m,Change my behavior causing me to cite more women,1674
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1153
Approve,m,Change my behavior causing me to cite more women,603
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,703
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1340
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1289
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1498
Disapprove,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1427
Approve,m,Change my behavior causing me to cite more women,132
Approve,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1722
Don't know,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,495
Disapprove,NA,Change my behavior causing me to cite fewer women,289
Approve,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1142
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,423
Approve,m,Change my behavior causing me to cite more women,637
Approve,NA,Change my behavior causing me to cite more women,241
Approve,NA,Change my behavior causing me to cite more women,604
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1421
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,99
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,963
Don't know,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1407
Approve,m,Change my behavior causing me to cite more women,711
Approve,m,Change my behavior causing me to cite more women,1464
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,776
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1711
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1145
Approve,f,Change my behavior causing me to cite more women,714
Approve,NA,Change my behavior causing me to cite more women,432
Approve,m,Change my behavior causing me to cite more women,552
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,148
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1720
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1030
Approve,f,Change my behavior causing me to cite more women,189
Approve,NA,Change my behavior causing me to cite more women,419
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1454
Disapprove,NA,Change my behavior causing me to cite fewer women,44
Approve,f,Change my behavior causing me to cite more women,57
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,441
Approve,f,Change my behavior causing me to cite more women,1429
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,274
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1759
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1290
Don't know,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,70
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,30
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,115
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,234
Approve,f,Change my behavior causing me to cite more women,575
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,454
Approve,f,Change my behavior causing me to cite more women,1049
Approve,m,Change my behavior causing me to cite more women,740
Approve,m,Change my behavior causing me to cite more women,1311
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,82
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,606
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1633
Approve,m,Change my behavior causing me to cite more women,866
Approve,m,Change my behavior causing me to cite more women,900
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1359
Approve,m,Change my behavior causing me to cite more women,1435
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1022
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1738
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,365
Approve,f,Change my behavior causing me to cite more women,730
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,574
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,491
Disapprove,NA,Change my behavior causing me to cite more women,1384
Approve,f,Change my behavior causing me to cite more women,1263
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,136
Approve,m,Change my behavior causing me to cite more women,1114
Approve,m,Change my behavior causing me to cite more women,1776
Approve,m,Change my behavior causing me to cite more women,1729
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1672
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,27
Approve,NA,Change my behavior causing me to cite more women,809
Approve,m,Change my behavior causing me to cite more women,122
Approve,m,Change my behavior causing me to cite more women,232
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,195
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,985
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,328
Approve,f,Change my behavior causing me to cite more women,1757
Approve,m,Change my behavior causing me to cite more women,904
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,187
Approve,f,Change my behavior causing me to cite more women,1204
Approve,m,Change my behavior causing me to cite more women,1752
Approve,m,Change my behavior causing me to cite more women,258
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,113
Approve,f,Change my behavior causing me to cite more women,456
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,830
Approve,f,Change my behavior causing me to cite more women,1626
Approve,NA,Change my behavior causing me to cite more women,1156
Approve,NA,Change my behavior causing me to cite more women,1317
Approve,m,Change my behavior causing me to cite more women,1065
Approve,f,Change my behavior causing me to cite more women,548
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1470
Approve,f,Change my behavior causing me to cite more women,1520
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,930
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,660
Disapprove,m,Change my behavior causing me to cite more women,1002
Disapprove,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,188
Approve,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,772
Approve,f,Change my behavior causing me to cite more women,1398
Approve,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,24
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1209
Don't know,m,Change my behavior causing me to cite more women,785
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,140
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,37
Approve,f,Change my behavior causing me to cite more women,1072
Approve,m,Change my behavior causing me to cite more women,1333
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,216
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,557
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,261
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1431
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,359
Approve,m,Change my behavior causing me to cite more women,1756
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1531
Don't know,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1539
Approve,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,590
Approve,NA,Change my behavior causing me to cite more women,351
Approve,m,Change my behavior causing me to cite more women,1561
Approve,m,Change my behavior causing me to cite more women,670
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,863
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1181
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1062
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,164
Approve,f,Change my behavior causing me to cite more women,718
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,964
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1504
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1045
Approve,NA,Change my behavior causing me to cite more women,201
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,356
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1057
Approve,f,Change my behavior causing me to cite more women,112
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,31
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1210
Approve,m,Change my behavior causing me to cite more women,119
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,787
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,792
Approve,f,Change my behavior causing me to cite more women,52
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,357
Approve,NA,Change my behavior causing me to cite more women,36
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,846
Disapprove,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1748
Approve,NA,Change my behavior causing me to cite more women,661
Approve,m,Change my behavior causing me to cite more women,1240
Approve,f,Change my behavior causing me to cite more women,451
Approve,m,Change my behavior causing me to cite more women,340
Approve,f,Change my behavior causing me to cite more women,167
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,555
Don't know,m,Change my behavior causing me to cite more women,1338
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,455
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1484
Approve,f,Change my behavior causing me to cite more women,508
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1619
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1162
Don't know,NA,Change my behavior causing me to cite more women,1173
Approve,f,Change my behavior causing me to cite more women,49
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1255
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1245
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,747
Approve,f,Change my behavior causing me to cite more women,674
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,726
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,59
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1466
Approve,m,Change my behavior causing me to cite more women,1499
Approve,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1243
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1579
Disapprove,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,915
Approve,m,Change my behavior causing me to cite more women,1709
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,801
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1373
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,198
Approve,m,Change my behavior causing me to cite more women,526
Approve,f,Change my behavior causing me to cite more women,705
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1218
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,378
Approve,f,Change my behavior causing me to cite more women,673
Approve,m,Change my behavior causing me to cite more women,471
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,362
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1076
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1113
Approve,f,Change my behavior causing me to cite more women,1650
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,242
Approve,f,Change my behavior causing me to cite more women,943
Approve,m,Change my behavior causing me to cite more women,1361
Approve,f,Change my behavior causing me to cite more women,227
Approve,m,Change my behavior causing me to cite more women,332
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1214
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,647
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,855
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1647
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,688
Approve,m,Change my behavior causing me to cite more women,162
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1537
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,986
Don't know,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1017
Disapprove,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1380
Disapprove,m,Change my behavior causing me to cite fewer women,487
Disapprove,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1676
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,305
Approve,m,Change my behavior causing me to cite more women,375
Disapprove,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1090
Don't know,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,583
Approve,m,Change my behavior causing me to cite more women,896
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,595
Approve,NA,Change my behavior causing me to cite more women,1468
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,797
Disapprove,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1081
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1524
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1599
Don't know,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1280
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,26
Approve,NA,Change my behavior causing me to cite more women,669
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1232
Approve,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,160
Approve,m,Change my behavior causing me to cite more women,1203
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,460
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,182
Approve,m,Change my behavior causing me to cite more women,155
Approve,m,Change my behavior causing me to cite more women,219
Don't know,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,914
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,276
Disapprove,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1086
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,60
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1223
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1570
Approve,NA,Change my behavior causing me to cite more women,1629
Approve,NA,Change my behavior causing me to cite more women,749
Approve,f,Change my behavior causing me to cite more women,768
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,973
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,990
Don't know,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1146
Approve,NA,Change my behavior causing me to cite more women,204
Don't know,m,Change my behavior causing me to cite more women,1167
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1037
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,796
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,934
Approve,NA,Change my behavior causing me to cite more women,820
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1059
Approve,NA,Change my behavior causing me to cite more women,88
Approve,f,Change my behavior causing me to cite more women,824
Don't know,m,Change my behavior causing me to cite more women,540
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,978
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1158
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1699
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,591
Approve,m,Change my behavior causing me to cite more women,836
Disapprove,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,215
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,147
Don't know,m,Change my behavior causing me to cite more women,691
Approve,m,Change my behavior causing me to cite more women,5
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,46
Approve,f,Change my behavior causing me to cite more women,480
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,287
Approve,m,Change my behavior causing me to cite more women,1007
Approve,m,Change my behavior causing me to cite more women,702
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,624
Approve,m,Change my behavior causing me to cite more women,1281
Approve,NA,Change my behavior causing me to cite more women,1702
Approve,f,Change my behavior causing me to cite more women,1580
Approve,m,Change my behavior causing me to cite more women,81
Approve,m,Change my behavior causing me to cite more women,700
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,379
Approve,m,Change my behavior causing me to cite more women,924
Don't know,m,Change my behavior causing me to cite more women,1512
Approve,f,Change my behavior causing me to cite more women,1467
Approve,m,Change my behavior causing me to cite more women,1149
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1617
Don't know,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1758
Approve,f,Change my behavior causing me to cite more women,1104
Approve,f,Change my behavior causing me to cite more women,542
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,625
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,850
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1295
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,299
Don't know,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,334
Approve,f,Change my behavior causing me to cite more women,304
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,185
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1707
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1381
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,25
Approve,f,Change my behavior causing me to cite more women,1132
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,90
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1318
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,576
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1668
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1460
Don't know,f,Change my behavior causing me to cite more women,421
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,212
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,409
Approve,f,Change my behavior causing me to cite more women,1754
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,447
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,254
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1779
Approve,m,Change my behavior causing me to cite more women,554
Disapprove,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,778
Approve,f,Change my behavior causing me to cite more women,928
Don't know,NA,Change my behavior causing me to cite more women,1604
Disapprove,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,401
Approve,NA,Change my behavior causing me to cite more women,33
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,762
Approve,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,406
Don't know,m,Change my behavior causing me to cite more women,1275
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,449
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1066
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,427
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,721
Don't know,m,Change my behavior causing me to cite more women,1760
Disapprove,m,Change my behavior causing me to cite more women,727
Approve,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1020
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,783
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1587
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,539
