treatment,standardized,gender,Subfield,Rank,resp_gender,age,paradigm,contact_group,sample,ResponseId
rank_control,Alexander Wendt,m,International Relations of a particular region/country,Associate Professor,NA,61,Constructivism,Denmark 2017,International,231
rank_control,Alexander Wendt,m,International/Global Security,Full Professor,m,48,Constructivism,United Kingdom 2017,International,279
rank_control,Erika Cudworth,f,International/Global Political Economy,Assistant Professor,NA,NA,Non-paradigmatic,United Kingdom 2017,International,166
rank_control,Robert O. Keohane,m,International/Global Environmental Politics,Full Professor,m,NA,Liberalism,Netherlands 2017,International,544
rank_control,Paul Kennedy,m,${e://Field/CountryAdj} Foreign Policy,Associate Professor,m,NA,Other,United Kingdom 2017,International,368
rank_control,Robert O. Keohane,m,International/Global Political Economy,Assistant Professor,m,NA,Liberalism,United Kingdom 2017,International,203
rank_control,Bruce Martin Russett,m,International/Global Security,Associate Professor,m,56,Non-paradigmatic,Israel 2017,International,405
rank_control,Robert O. Keohane,m,International Organization(s),Full Professor,m,60,Other,United Kingdom 2017,International,475
rank_control,Alexander Wendt,m,Other,Other,NA,NA,Constructivism,Sweden 2017,International,451
rank_control,Alexander Wendt,m,Other,Assistant Professor,m,NA,Non-paradigmatic,United Kingdom 2017,International,48
rank_control,Robert O. Keohane,m,Other,Full Professor,NA,55,Liberalism,Norway 2017,International,556
rank_control,Joseph S. Nye Jr.,m,International Relations of a particular region/country,Other,NA,NA,Liberalism,Sweden 2017,International,159
rank_control,Barry Buzan,m,International Relations Theory,Full Professor,NA,62,Constructivism,Denmark 2017,International,96
rank_control,Alexander Wendt,m,International/Global Security,Associate Professor,NA,NA,Constructivism,United Kingdom 2017,International,364
rank_control,Alexander Wendt,m,International Relations of a particular region/country,Associate Professor,m,50,Other,United Kingdom 2017,International,137
rank_control,Magnus Ekengren,m,I am not an IR scholar,Other,NA,38,Constructivism,Sweden 2017,International,85
rank_control,Kenneth Waltz,m,Other,Other,NA,NA,Other,Denmark 2017,International,204
rank_control,Friedrich Kratochwil,m,International Relations Theory,Full Professor,m,72,Non-paradigmatic,United Kingdom 2017,International,450
rank_control,Cynthia Enloe,f,Other,Other,f,33,Other,United Kingdom 2017,International,308
rank_control,Alexander Wendt,m,Human Security,Associate Professor,NA,NA,Constructivism,Sweden 2017,International,445
rank_control,John A. Vasquez,m,International/Global Security,Assistant Professor,m,34,Other,United Kingdom 2017,International,237
rank_control,John J. Mearsheimer,m,Other,Associate Professor,m,NA,Realism,United Kingdom 2017,International,255
rank_control,John J. Mearsheimer,m,Other,Associate Professor,m,NA,Realism,United Kingdom 2017,International,255
rank_control,James Scott,m,Comparative Foreign Policy,Assistant Professor,m,NA,Non-paradigmatic,Netherlands 2017,International,366
rank_control,Richard Jackson,m,U.S. Foreign Policy,Associate Professor,m,48,Constructivism,United Kingdom 2017,International,179
rank_control,Roland Bleiker,m,International Relations Theory,Associate Professor,m,42,Non-paradigmatic,United Kingdom 2017,International,55
rank_control,Alexander Wendt,m,Global Civil Society,Associate Professor,m,38,Other,United Kingdom 2017,International,331
rank_control,Alexander Wendt,m,International Relations Theory,Full Professor,f,39,Other,United Kingdom 2017,International,67
rank_control,Hans Morgenthau,m,Development studies,Associate Professor,NA,65,Non-paradigmatic,Denmark 2017,International,463
rank_control,Joseph S. Nye Jr.,m,International Relations of a particular region/country,Assistant Professor,f,NA,Liberalism,Philippines 2017,International,27
rank_control,Bruce Bueno de Mesquita,m,Other,Assistant Professor,f,37,Non-paradigmatic,United Kingdom 2017,International,453
rank_control,Alexander Wendt,m,Other,Other,m,36,Realism,United Kingdom 2017,International,94
rank_control,Alexander Wendt,m,International Relations Theory,Assistant Professor,m,47,Constructivism,United Kingdom 2017,International,571
rank_control,Stephen M. Walt,m,International Relations of a particular region/country,Associate Professor,NA,71,Realism,Denmark 2017,International,32
rank_control,Stephen Waltz,m,International Relations of a particular region/country,Associate Professor,NA,71,Realism,Denmark 2017,International,32
rank_control,Francis Fukuyama,m,Other,Emeritus,m,68,Liberalism,Denmark 2017,International,15
rank_control,Kenneth Waltz,m,International Relations of a particular region/country,Full Professor,m,62,Non-paradigmatic,Singapore 2017,International,83
rank_control,Michel Foucault,m,International/Global Political Economy,Assistant Professor,f,37,Other,United Kingdom 2017,International,194
rank_control,E.H. Carr,m,Other,Emeritus,m,68,Other,United Kingdom 2017,International,145
rank_control,John J. Mearsheimer,m,International/Global Ethics,Associate Professor,f,39,Liberalism,United Kingdom 2017,International,334
rank_control,John J. Mearsheimer,m,International/Global Ethics,Associate Professor,f,39,Liberalism,United Kingdom 2017,International,334
rank_control,Joseph S. Nye Jr.,m,International/Global Health,Assistant Professor,m,39,Constructivism,United Kingdom 2017,International,244
rank_control,Kenneth Waltz,m,International Relations of a particular region/country,Associate Professor,m,55,Constructivism,United Kingdom 2017,International,205
rank_control,Robert W. Cox,m,U.S. Foreign Policy,Assistant Professor,m,46,Other,United Kingdom 2017,International,533
rank_control,Alexander Wendt,m,International Relations Theory,Full Professor,m,56,Constructivism,Australia 2017,International,286
rank_control,John J. Mearsheimer,m,U.S. Foreign Policy,Associate Professor,m,47,Realism,Australia 2017,International,427
rank_control,John J. Mearsheimer,m,U.S. Foreign Policy,Associate Professor,m,47,Realism,Australia 2017,International,427
rank_control,Robert W. Cox,m,International/Global Political Economy,Associate Professor,m,45,Constructivism,New Zealand 2017,International,456
rank_control,Richard Ned Lebow,m,International Relations Theory,Assistant Professor,m,37,Constructivism,Australia 2017,International,328
rank_control,James Fearon,m,International Organization(s),Assistant Professor,m,NA,Constructivism,Australia 2017,International,123
rank_control,Alexander Wendt,m,International/Global Environmental Politics,Associate Professor,m,41,Constructivism,Australia 2017,International,193
rank_control,Robert O. Keohane,m,International Relations of a particular region/country,Full Professor,m,71,Liberalism,Australia 2017,International,156
rank_control,Francis Fukuyama,m,Development studies,Associate Professor,NA,NA,Non-paradigmatic,Denmark 2017,International,434
rank_control,J. Ann Tickner,f,Gender in IR,Associate Professor,f,42,Other,Australia 2017,International,399
rank_control,Thomas C. Schelling,m,Human Security,Assistant Professor,m,NA,Constructivism,Australia 2017,International,50
rank_control,Cynthia Enloe,f,International/Global Ethics,Full Professor,m,NA,Constructivism,United Kingdom 2017,International,353
rank_control,Robert O. Keohane,m,International/Global Security,Full Professor,m,47,Constructivism,United Kingdom 2017,International,575
rank_control,Robert O. Keohane,m,International/Global Political Economy,Associate Professor,m,35,Non-paradigmatic,United Kingdom 2017,International,560
rank_control,Cynthia Enloe,f,Gender in IR,Assistant Professor,f,NA,Other,Ireland 2017,International,543
rank_control,Edward Said,m,Other,Assistant Professor,m,NA,Other,Australia 2017,International,13
rank_control,Alexander Wendt,m,U.S. Foreign Policy,NA,NA,NA,Other,Australia 2017,International,263
rank_control,Martha Finnemore,f,International/Global Ethics,Associate Professor,m,38,Constructivism,Australia 2017,International,46
rank_control,Kathryn A. Sikkink,f,International Law,Associate Professor,m,33,Constructivism,United Kingdom 2017,International,82
rank_control,Samuel P. Huntington,m,International/Global Security,Associate Professor,m,53,Realism,Australia 2017,International,69
rank_control,Cynthia Enloe,f,International/Global Security,Associate Professor,f,NA,Non-paradigmatic,Australia 2017,International,111
rank_control,Roland Bleiker,m,International Relations Theory,Other,f,NA,Other,Australia 2017,International,570
rank_control,Alexander Wendt,m,International/Global Political Economy,Associate Professor,m,37,Constructivism,Australia 2017,International,287
rank_control,Robert Jessop,m,I am not an IR scholar,Full Professor,m,62,Other,Australia 2017,International,65
rank_control,Martha Finnemore,f,International Organization(s),Other,f,NA,Non-paradigmatic,Australia 2017,International,383
rank_control,Alexander Wendt,m,International/Global History,Assistant Professor,m,NA,Constructivism,Australia 2017,International,569
rank_control,Alexander Wendt,m,International/Global Environmental Politics,Associate Professor,m,62,Constructivism,Australia 2017,International,89
rank_control,Susan Strange,f,International Organization(s),Full Professor,m,53,Constructivism,Australia 2017,International,44
rank_control,Susan Strange,f,International Organization(s),Full Professor,m,53,Constructivism,Australia 2017,International,44
rank_control,R. B. J. Walker,m,International Relations Theory,Associate Professor,f,41,Other,Australia 2017,International,147
rank_control,Cynthia Enloe,f,Development studies,Associate Professor,f,33,Other,Australia 2017,International,269
rank_control,Alexander Wendt,m,International/Global Security,Associate Professor,f,40,Other,New Zealand 2017,International,529
rank_control,Kenneth Waltz,m,International/Global Environmental Politics,Other,NA,NA,Constructivism,Sweden 2017,International,370
rank_control,Kenneth Waltz,m,Other,Full Professor,m,50,Constructivism,New Zealand 2017,International,338
rank_control,Alexander Wendt,m,International/Global Security,Other,f,NA,Constructivism,Netherlands 2017,International,177
rank_control,Amitav Acharya,m,International Organization(s),Associate Professor,f,40,Constructivism,Australia 2017,International,483
rank_control,John J. Mearsheimer,m,International Relations of a particular region/country,Other,NA,NA,Realism,Denmark 2017,International,295
rank_control,John J. Mearsheimer,m,International Relations of a particular region/country,Other,NA,NA,Realism,Denmark 2017,International,295
rank_control,Kimberly Hutchings,f,Other,Associate Professor,f,39,Other,New Zealand 2017,International,218
rank_control,Peter Wallensteen,m,Other,Full Professor,m,43,Non-paradigmatic,Sweden 2017,International,321
rank_control,Robert O. Keohane,m,International/Global Political Economy,Associate Professor,NA,49,Constructivism,Denmark 2017,International,66
rank_control,Alexander Wendt,m,International/Global Security,Other,NA,42,Constructivism,Denmark 2017,International,253
rank_control,Andrew Moravcsik,m,I am not an IR scholar,Assistant Professor,f,44,Non-paradigmatic,Ireland 2017,International,439
rank_control,John J. Mearsheimer,m,Global Civil Society,Full Professor,f,61,Constructivism,Norway 2017,International,12
rank_control,John J. Mearsheimer,m,Global Civil Society,Full Professor,f,61,Constructivism,Norway 2017,International,12
rank_control,Kenneth Waltz,m,Development studies,Assistant Professor,m,NA,Constructivism,Hong Kong 2017,International,384
rank_control,James Fearon,m,Other,Full Professor,m,55,Non-paradigmatic,United Kingdom 2017,International,257
rank_control,Michael W. Doyle,m,International/Global Security,Assistant Professor,m,39,Non-paradigmatic,United Kingdom 2017,International,52
rank_control,Stephen M. Walt,m,International Relations of a particular region/country,Associate Professor,m,NA,Realism,Australia 2017,International,421
rank_control,Stephen Waltz,m,International Relations of a particular region/country,Associate Professor,m,NA,Realism,Australia 2017,International,421
rank_control,John Paul Lederach,m,Development studies,Associate Professor,m,60,Constructivism,Australia 2017,International,78
rank_control,Peter J. Katzenstein,m,Human Rights,Associate Professor,m,46,Other,Australia 2017,International,91
rank_control,Peter J. Katzenstein,m,Other,Associate Professor,f,59,Constructivism,Australia 2017,International,454
rank_control,Michel Foucault,m,International Relations Theory,Other,m,NA,Other,Philippines 2017,International,121
rank_control,Alexander Wendt,m,International/Global Security,Associate Professor,m,40,Other,Australia 2017,International,488
rank_control,Kenneth Waltz,m,International/Global Environmental Politics,Other,NA,NA,Liberalism,Norway 2017,International,200
rank_control,Joseph S. Nye Jr.,m,Human Security,Associate Professor,m,NA,Constructivism,Sweden 2017,International,503
rank_control,Richard Ned Lebow,m,International/Global Security,Other,m,49,Constructivism,Norway 2017,International,220
rank_control,Alexander Wendt,m,International/Global Political Economy,Full Professor,m,44,Other,Australia 2017,International,281
rank_control,Joseph S. Nye Jr.,m,International/Global Security,Full Professor,m,63,Liberalism,New Zealand 2017,International,337
rank_control,John G. Ruggie,m,International Organization(s),Assistant Professor,m,42,Constructivism,Australia 2017,International,58
rank_control,Christian Reus-Smit,m,International/Global Security,Associate Professor,f,60,Other,Australia 2017,International,238
rank_control,Antonio Gramsci,m,European Studies/European Integration,Full Professor,NA,NA,Other,Denmark 2017,International,309
rank_control,Alexander Wendt,m,Other,Associate Professor,NA,44,Constructivism,Sweden 2017,International,119
rank_control,Alexander Wendt,m,International/Global Security,Full Professor,m,NA,Non-paradigmatic,United Kingdom 2017,International,335
rank_control,Michel Foucault,m,Human Rights,Associate Professor,f,45,Non-paradigmatic,United Kingdom 2017,International,43
rank_control,Lawrence Freedman,m,International/Global Security,Full Professor,m,NA,Liberalism,United Kingdom 2017,International,16
rank_control,Stephen M. Walt,m,International Relations of a particular region/country,Assistant Professor,f,NA,Non-paradigmatic,United Kingdom 2017,International,385
rank_control,Stephen Waltz,m,International Relations of a particular region/country,Assistant Professor,f,NA,Non-paradigmatic,United Kingdom 2017,International,385
rank_control,Robert Jervis,m,International Relations Theory,Assistant Professor,m,43,Realism,Singapore 2017,International,45
rank_control,Ronald L. Rogowski,m,European Studies/European Integration,Full Professor,m,49,Liberalism,United Kingdom 2017,International,259
rank_control,Charles Tilly,m,International/Global Security,Assistant Professor,NA,NA,Non-paradigmatic,United Kingdom 2017,International,260
rank_control,Charles Tilly,m,International/Global Security,Assistant Professor,NA,NA,Non-paradigmatic,United Kingdom 2017,International,260
rank_control,Samuel P. Huntington,m,Development studies,Associate Professor,NA,NA,Constructivism,Sweden 2017,International,567
rank_control,Vincent Pouliot,m,Other,Other,m,NA,Constructivism,United Kingdom 2017,International,392
rank_control,Amitav Acharya,m,European Studies/European Integration,Other,m,49,Other,United Kingdom 2017,International,114
rank_control,Fred Halliday,m,International Relations of a particular region/country,Emeritus,f,61,Constructivism,United Kingdom 2017,International,60
rank_control,James Fearon,m,International/Global Security,Other,f,NA,Non-paradigmatic,Sweden 2017,International,181
rank_control,Kathryn A. Sikkink,f,${e://Field/CountryAdj} Foreign Policy,Associate Professor,m,34,Constructivism,Australia 2017,International,146
rank_control,Robert W. Cox,m,Other,Other,f,NA,Other,Netherlands 2017,International,165
rank_control,Kenneth Waltz,m,European Studies/European Integration,Associate Professor,m,49,Realism,Australia 2017,International,372
rank_control,Kenneth Waltz,m,Human Security,Other,NA,37,Non-paradigmatic,Denmark 2017,International,378
rank_control,Hedley Bull,m,International Law,Other,f,NA,Other,Netherlands 2017,International,24
rank_control,Kenneth Waltz,m,International/Global Political Economy,Assistant Professor,f,NA,Non-paradigmatic,Netherlands 2017,International,223
rank_control,Christine Sylvester,f,International/Global Environmental Politics,Full Professor,m,51,Other,Australia 2017,International,28
rank_control,Noam Chomsky,m,Gender in IR,Associate Professor,f,55,Other,Australia 2017,International,465
rank_control,John Keynes,m,International/Global Political Economy,Full Professor,m,45,Constructivism,United Kingdom 2017,International,476
rank_control,Robert O. Keohane,m,${e://Field/CountryAdj} Foreign Policy,NA,f,75,Non-paradigmatic,Brazil 2017,International,126
rank_control,Martha Finnemore,f,International Organization(s),NA,m,NA,Non-paradigmatic,Brazil 2017,International,112
rank_control,Alexander Wendt,m,International Relations of a particular region/country,NA,NA,NA,Other,Chile 2017,International,431
rank_control,Barry Buzan,m,International Relations Theory,NA,m,37,Constructivism,Colombia 2017,International,155
rank_control,John Ravenhill,m,International/Global Political Economy,NA,m,68,Non-paradigmatic,Mexico 2017,International,104
rank_control,John Ravenhill,m,International/Global Political Economy,NA,m,68,Non-paradigmatic,Mexico 2017,International,104
rank_control,John Ravenhill,m,International/Global Political Economy,NA,m,68,Non-paradigmatic,Mexico 2017,International,104
rank_control,James Fearon,m,International/Global Security,NA,m,NA,Non-paradigmatic,Mexico 2017,International,125
rank_control,Robert O. Keohane,m,Other,NA,m,47,Constructivism,Colombia 2017,International,202
rank_control,Joseph S. Nye Jr.,m,International Relations of a particular region/country,NA,NA,68,Non-paradigmatic,Chile 2017,International,466
rank_control,Roberto Russell,m,International/Global Political Economy,NA,m,37,Realism,Argentina 2017,International,517
rank_control,Kenneth Waltz,m,International Relations Theory,NA,f,42,Realism,Mexico 2017,International,342
rank_control,James N. Rosenau,m,NA,NA,NA,NA,NA,NA,International,379
rank_control,Robert O. Keohane,m,Other,Associate Professor,m,43,Constructivism,Canada 2017,International,375
rank_control,Kenneth Abbott,m,International Organization(s),Associate Professor,f,43,Non-paradigmatic,Canada 2017,International,333
rank_control,Robert W. Cox,m,International Relations Theory,Associate Professor,m,54,Other,Canada 2017,International,261
rank_control,J. Ann Tickner,f,Gender in IR,Assistant Professor,f,44,Other,Canada 2017,International,296
rank_control,Immanuel Kant,m,Other,Assistant Professor,m,NA,Other,Canada 2017,International,336
rank_control,Joseph S. Nye Jr.,m,International/Global Security,Full Professor,f,55,Other,Canada 2017,International,266
rank_control,Alexander Wendt,m,Other,Assistant Professor,m,NA,Realism,Canada 2017,International,172
rank_control,Alexander Wendt,m,Religion in IR,Associate Professor,m,45,Constructivism,Canada 2017,International,314
rank_control,Alexander Wendt,m,International/Global Ethics,Full Professor,m,53,Constructivism,Canada 2017,International,371
rank_control,Robert O. Keohane,m,International/Global Political Economy,Full Professor,m,67,Non-paradigmatic,Canada 2017,International,552
rank_control,Alexander Wendt,m,European Studies/European Integration,Associate Professor,m,44,Non-paradigmatic,Canada 2017,International,271
rank_control,Kenneth Waltz,m,International/Global Security,Other,f,56,Realism,Canada 2017,International,77
rank_control,Kenneth Waltz,m,${e://Field/CountryAdj} Foreign Policy,Full Professor,m,65,Other,Canada 2017,International,229
rank_control,Alexander Wendt,m,International/Global Security,Assistant Professor,m,33,Realism,Canada 2017,International,3
rank_control,Alexander Wendt,m,International/Global Security,Full Professor,m,57,Non-paradigmatic,Canada 2017,International,322
rank_control,Richard Ned Lebow,m,History of the international relations discipline,Full Professor,m,53,Non-paradigmatic,Canada 2017,International,234
rank_control,Robert W. Cox,m,International/Global Political Economy,Full Professor,m,56,Other,Canada 2017,International,209
rank_control,Kenneth Waltz,m,International/Global Security,Assistant Professor,m,NA,Realism,Canada 2017,International,403
rank_control,Cynthia Enloe,f,Human Rights,Assistant Professor,f,NA,Constructivism,Canada 2017,International,509
rank_control,R. B. J. Walker,m,International Relations Theory,Associate Professor,m,NA,Other,Canada 2017,International,233
rank_control,Peter J. Katzenstein,m,International/Global Security,Full Professor,m,61,Non-paradigmatic,Canada 2017,International,127
rank_control,Alexander Wendt,m,International/Global Environmental Politics,Associate Professor,m,44,Constructivism,Canada 2017,International,293
rank_control,Alexander Wendt,m,International/Global History,Assistant Professor,m,44,Constructivism,Canada 2017,International,367
rank_control,Kenneth Waltz,m,International/Global Security,Full Professor,m,70,Constructivism,Canada 2017,International,525
rank_control,Alexander Wendt,m,International/Global Security,Assistant Professor,f,39,Non-paradigmatic,Canada 2017,International,349
rank_control,Kenneth Waltz,m,International/Global Security,Associate Professor,f,46,Other,Canada 2017,International,173
rank_control,Susan Strange,f,European Studies/European Integration,Full Professor,f,48,Constructivism,Canada 2017,International,210
rank_control,Susan Strange,f,European Studies/European Integration,Full Professor,f,48,Constructivism,Canada 2017,International,210
rank_control,Robert Axelrod,m,International Law,Other,m,48,Other,Canada 2017,International,275
rank_control,E.H. Carr,m,Other,Full Professor,m,63,Non-paradigmatic,Canada 2017,International,406
rank_control,Kathryn A. Sikkink,f,Global Civil Society,Associate Professor,f,NA,Constructivism,Canada 2017,International,101
rank_control,Joseph S. Nye Jr.,m,International/Global Security,Assistant Professor,m,NA,Liberalism,Canada 2017,International,64
rank_control,Robert Wade,m,International/Global Political Economy,Full Professor,m,NA,Constructivism,Canada 2017,International,433
rank_control,Cynthia Enloe,f,I am not an IR scholar,Associate Professor,f,NA,Other,Canada 2017,International,39
