treatment,standardized,gender,Country,Subfield,Rank,Ethnicity,resp_gender,age,paradigm,sample,ResponseId
rank_control,Bruce Bueno de Mesquita,m,US,International/Global Security,Associate Professor,1,f,38,Non-paradigmatic,US,62
rank_control,Alexander Wendt,m,US,International/Global Security,Full Professor,1,m,54,Liberalism,US,543
rank_control,Helen V. Milner,f,US,International/Global Political Economy,Assistant Professor,1,f,NA,Liberalism,US,593
rank_control,Judith L. Goldstein,f,US,Other,Assistant Professor,1,f,NA,Non-paradigmatic,US,481
rank_control,James Fearon,m,US,International/Global Security,Assistant Professor,1,m,NA,Non-paradigmatic,US,64
rank_control,Samuel P. Huntington,m,US,Other,Emeritus,1,m,70,Other,US,317
rank_control,Alexander Wendt,m,US,International/Global Political Economy,Full Professor,1,m,63,Other,US,237
rank_control,Erica Chenoweth,f,US,Human Rights,Assistant Professor,1,m,NA,Realism,US,245
rank_control,John J. Mearsheimer,m,US,International/Global Political Economy,Associate Professor,1,m,NA,Other,US,734
rank_control,Robert Gilpin,m,US,U.S. Foreign Policy,Full Professor,0,m,75,Non-paradigmatic,US,312
rank_control,Kenneth Waltz,m,US,International Relations of a particular region/country,Associate Professor,1,m,64,Realism,US,195
rank_control,Randall L. Schweller,m,US,International/Global Security,Assistant Professor,1,m,NA,Realism,US,223
rank_control,Robert O. Keohane,m,US,International/Global Political Economy,Assistant Professor,1,m,NA,Liberalism,US,754
rank_control,James Fearon,m,US,International Organization(s),Associate Professor,1,m,NA,Non-paradigmatic,US,354
rank_control,Joseph S. Nye Jr.,m,US,International/Global History,Full Professor,0,m,NA,Constructivism,US,180
rank_control,Martha Finnemore,f,US,European Studies/European Integration,Associate Professor,1,m,38,Other,US,353
rank_control,Kenneth Waltz,m,US,International Relations Theory,Associate Professor,1,f,59,Liberalism,US,251
rank_control,James Fearon,m,US,International/Global Security,Assistant Professor,1,m,NA,Non-paradigmatic,US,585
rank_control,Martha Finnemore,f,US,International Law,Full Professor,1,f,55,Non-paradigmatic,US,656
rank_control,Alexander Wendt,m,US,International Organization(s),Associate Professor,1,f,51,Constructivism,US,367
rank_control,J. David Singer,m,US,International/Global Security,Emeritus,1,m,70,Liberalism,US,93
rank_control,David A. Lake,m,US,International/Global Political Economy,Full Professor,1,m,NA,Non-paradigmatic,US,547
rank_control,Stephen M. Walt,m,US,U.S. Foreign Policy,Assistant Professor,1,f,NA,Constructivism,US,661
rank_control,David Harvey,m,NA,I am not an IR scholar,Assistant Professor,1,f,NA,Other,US,648
rank_control,John J. Mearsheimer,m,US,European Studies/European Integration,Other,1,m,NA,Non-paradigmatic,US,740
rank_control,Alexander Wendt,m,US,International Relations Theory,Other,1,m,38,Other,US,349
rank_control,Robert O. Keohane,m,US,International/Global Political Economy,Assistant Professor,1,m,NA,Liberalism,US,161
rank_control,J. Ann Tickner,f,US,Comparative Foreign Policy,Associate Professor,1,f,44,Constructivism,US,737
rank_control,Martha Finnemore,f,US,European Studies/European Integration,Full Professor,1,f,51,Constructivism,US,348
rank_control,Stephen D. Biddle,m,US,International/Global Security,Full Professor,1,m,NA,Non-paradigmatic,US,775
rank_control,Stephen M. Walt,m,US,U.S. Foreign Policy,Emeritus,1,m,NA,Realism,US,437
rank_control,Scott D. Sagan,m,US,U.S. Foreign Policy,Associate Professor,1,m,NA,Non-paradigmatic,US,750
rank_control,John J. Mearsheimer,m,US,International Relations of a particular region/country,Assistant Professor,1,f,NA,Non-paradigmatic,US,474
rank_control,Robert O. Keohane,m,US,U.S. Foreign Policy,Assistant Professor,1,m,37,Liberalism,US,216
rank_control,G. John Ikenberry,m,US,International/Global Security,Assistant Professor,0,m,NA,Non-paradigmatic,US,555
rank_control,Alexander Wendt,m,US,International/Global Ethics,Associate Professor,1,m,40,Other,US,565
rank_control,David A. Lake,m,US,International/Global Security,Assistant Professor,0,f,NA,Non-paradigmatic,US,712
rank_control,James Fearon,m,US,International/Global Political Economy,Assistant Professor,1,m,NA,Non-paradigmatic,US,390
rank_control,Robert O. Keohane,m,US,International/Global Political Economy,Associate Professor,0,m,47,Liberalism,US,480
rank_control,Andrew Moravcsik,m,US,European Studies/European Integration,Assistant Professor,1,f,NA,Non-paradigmatic,US,61
rank_control,John J. Mearsheimer,m,US,Other,Assistant Professor,0,m,NA,Realism,US,124
rank_control,Kenneth Waltz,m,US,International/Global Security,Assistant Professor,1,m,NA,Realism,US,222
rank_control,Hedley Bull,m,NA,International/Global Security,Full Professor,0,f,NA,Constructivism,US,255
rank_control,Daniel Drezner,m,US,Other,Associate Professor,1,m,NA,Realism,US,58
rank_control,Christian Davenport,m,US,Human Rights,Assistant Professor,1,m,NA,Constructivism,US,731
rank_control,Alexander Wendt,m,US,International Organization(s),Associate Professor,1,m,44,Non-paradigmatic,US,98
rank_control,Mark M. Blyth,m,US,European Studies/European Integration,Assistant Professor,1,f,NA,Non-paradigmatic,US,469
rank_control,Joseph S. Nye Jr.,m,US,Comparative Foreign Policy,Full Professor,1,m,64,Non-paradigmatic,US,709
rank_control,G. John Ikenberry,m,US,International/Global Security,Other,1,m,70,Realism,US,83
rank_control,Alastair Smith,m,US,International Relations Theory,Full Professor,1,m,70,Other,US,274
rank_control,James Fearon,m,US,Development Studies,Associate Professor,1,m,NA,Non-paradigmatic,US,711
rank_control,Robert Jervis,m,US,International/Global Security,Associate Professor,1,m,NA,Realism,US,261
rank_control,Jens Hainmueller,m,US,International Relations of a particular region/country,Associate Professor,1,f,NA,Non-paradigmatic,US,368
rank_control,Robert O. Keohane,m,US,International/Global Political Economy,Assistant Professor,1,m,NA,Other,US,139
rank_control,Paul Kennedy,m,US,NA,NA,NA,NA,NA,NA,US,86
rank_control,Robert Gilpin,m,US,International/Global Political Economy,Emeritus,1,m,68,Realism,US,450
rank_control,David A. Lake,m,US,Other,Full Professor,1,m,NA,Non-paradigmatic,US,508
rank_control,Joseph S. Nye Jr.,m,US,I am not an IR scholar,Full Professor,0,f,NA,Non-paradigmatic,US,596
rank_control,Robert O. Keohane,m,US,International Organization(s),Assistant Professor,1,f,NA,Non-paradigmatic,US,478
rank_control,Robert O. Keohane,m,US,International/Global Security,Associate Professor,1,m,47,Realism,US,627
rank_control,Alexander Wendt,m,US,International Relations Theory,Assistant Professor,1,m,NA,Constructivism,US,37
rank_control,Alexander Wendt,m,US,Comparative Foreign Policy,Associate Professor,1,m,37,NA,US,198
rank_control,Alexander Wendt,m,US,International/Global Security,Associate Professor,1,m,42,Constructivism,US,498
rank_control,Stephen M. Walt,m,US,U.S. Foreign Policy,Other,1,m,NA,Realism,US,645
rank_control,Kenneth Waltz,m,US,European Studies/European Integration,Other,1,m,NA,Non-paradigmatic,US,148
rank_control,Samuel P. Huntington,m,US,International/Global Ethics,Full Professor,1,m,NA,Realism,US,373
rank_control,Martha Finnemore,f,US,Other,Full Professor,1,f,NA,Non-paradigmatic,US,315
rank_control,Erica Chenoweth,f,US,International/Global Security,Assistant Professor,1,m,NA,Non-paradigmatic,US,80
rank_control,Robert O. Keohane,m,US,U.S. Foreign Policy,Full Professor,1,m,NA,Liberalism,US,634
rank_control,Martha Finnemore,f,US,International Law,Full Professor,1,f,51,Constructivism,US,205
rank_control,John J. Mearsheimer,m,US,U.S. Foreign Policy,Full Professor,1,m,61,Realism,US,742
rank_control,Michael N. Barnett,m,US,Human Rights,Associate Professor,1,f,NA,Constructivism,US,231
rank_control,Joseph S. Nye Jr.,m,US,U.S. Foreign Policy,Full Professor,1,m,NA,Non-paradigmatic,US,403
rank_control,Roberta Cohen,f,NA,International Relations of a particular region/country,Full Professor,0,m,NA,Constructivism,US,745
rank_control,Martha Finnemore,f,US,U.S. Foreign Policy,Associate Professor,1,m,58,Constructivism,US,554
rank_control,Alexander Wendt,m,US,International/Global Security,Assistant Professor,1,m,NA,Constructivism,US,163
rank_control,Stephen D. Krasner,m,US,International Organization(s),Emeritus,1,f,NA,Non-paradigmatic,US,385
rank_control,John J. Mearsheimer,m,US,International/Global Security,Assistant Professor,1,m,NA,Realism,US,331
rank_control,Cynthia Enloe,f,US,Other,Other,1,m,NA,Other,US,444
rank_control,Samuel P. Huntington,m,US,U.S. Foreign Policy,Associate Professor,1,m,NA,Realism,US,592
rank_control,Amartya Sen,m,non-US,Development Studies,Associate Professor,1,m,61,Non-paradigmatic,US,13
rank_control,J. David Singer,m,US,International/Global Security,Full Professor,1,m,NA,Non-paradigmatic,US,350
rank_control,Kenneth Waltz,m,US,International/Global Environmental Politics,Full Professor,1,m,NA,Constructivism,US,459
rank_control,Barry Buzan,m,non-US,International/Global Security,Associate Professor,1,f,NA,Other,US,57
rank_control,Robert O. Keohane,m,US,International/Global Political Economy,Assistant Professor,1,m,NA,Liberalism,US,238
rank_control,Alexander Wendt,m,US,International/Global Political Economy,Other,1,m,43,Constructivism,US,232
rank_control,Martha Finnemore,f,US,Human Rights,Assistant Professor,0,f,NA,Constructivism,US,294
rank_control,Immanuel Wallerstein,m,US,International/Global Political Economy,Assistant Professor,1,m,NA,Other,US,764
rank_control,Andre Frank,m,NA,Human Rights,Associate Professor,0,f,63,Other,US,583
rank_control,James Fearon,m,US,International/Global Security,Assistant Professor,1,m,NA,Non-paradigmatic,US,639
rank_control,Kathryn A. Sikkink,f,US,International/Global Security,Full Professor,1,f,NA,Constructivism,US,228
rank_control,Kenneth Waltz,m,US,International Organization(s),Assistant Professor,1,f,NA,Constructivism,US,87
rank_control,Michael N. Barnett,m,US,International/Global Political Economy,Full Professor,1,m,44,Liberalism,US,283
rank_control,John J. Mearsheimer,m,US,International Relations of a particular region/country,Assistant Professor,1,f,NA,Realism,US,651
rank_control,Kenneth Waltz,m,US,International/Global Security,Full Professor,1,m,NA,Realism,US,68
rank_control,Alexander Wendt,m,US,U.S. Foreign Policy,Associate Professor,1,m,NA,Liberalism,US,568
rank_control,Anne-Marie Slaughter,f,US,International/Global Security,Full Professor,1,m,NA,Constructivism,US,314
rank_control,Joseph S. Nye Jr.,m,US,International Law,Full Professor,1,m,NA,Non-paradigmatic,US,406
rank_control,Hans Morgenthau,m,NA,International/Global Political Economy,Other,0,m,NA,Realism,US,344
rank_control,Duncan Snidal,m,US,International/Global Political Economy,Assistant Professor,1,m,NA,Non-paradigmatic,US,135
rank_control,G. John Ikenberry,m,US,Comparative Foreign Policy,Associate Professor,1,m,NA,Other,US,678
rank_control,John J. Mearsheimer,m,US,International Law,Full Professor,1,m,NA,Non-paradigmatic,US,594
rank_control,Robert O. Keohane,m,US,International Organization(s),Full Professor,1,m,71,Constructivism,US,149
rank_control,Alexander Wendt,m,US,International/Global Security,Associate Professor,1,m,NA,Non-paradigmatic,US,523
rank_control,Joseph S. Nye Jr.,m,US,Comparative Foreign Policy,Associate Professor,1,m,NA,Realism,US,588
rank_control,Alexander Wendt,m,US,U.S. Foreign Policy,Assistant Professor,1,m,NA,Constructivism,US,114
rank_control,Patrick T. Jackson,m,US,International/Global Environmental Politics,Assistant Professor,1,m,NA,Non-paradigmatic,US,217
rank_control,James Fearon,m,US,International/Global Political Economy,Full Professor,1,f,45,Non-paradigmatic,US,683
rank_control,Max Weber,m,NA,International Relations Theory,Emeritus,1,m,NA,Constructivism,US,362
rank_control,Alexander Wendt,m,US,Comparative Foreign Policy,Full Professor,1,m,NA,Liberalism,US,304
rank_control,David A. Lake,m,US,Global Civil Society,Associate Professor,1,f,38,Non-paradigmatic,US,621
rank_control,Bruce Bueno de Mesquita,m,US,Other,Full Professor,1,m,NA,Non-paradigmatic,US,664
rank_control,Henry Kissinger,m,NA,International/Global Political Economy,Assistant Professor,1,f,NA,Liberalism,US,643
rank_control,John J. Mearsheimer,m,US,Comparative Foreign Policy,Assistant Professor,1,f,NA,Liberalism,US,466
rank_control,Kenneth Waltz,m,US,International/Global Security,Associate Professor,1,m,55,Realism,US,184
rank_control,John J. Mearsheimer,m,US,International/Global Security,Assistant Professor,1,m,NA,Non-paradigmatic,US,295
rank_control,Sara M. Mitchell,f,US,International/Global Security,Assistant Professor,1,m,NA,Liberalism,US,378
rank_control,Martha Finnemore,f,US,International/Global Security,Associate Professor,1,f,43,Constructivism,US,48
rank_control,Robert O. Keohane,m,US,International/Global Political Economy,Associate Professor,1,m,NA,Liberalism,US,716
rank_control,Séverine Autesserre,f,US,Other,Full Professor,1,m,NA,Constructivism,US,305
rank_control,Friedrich Viktor Kratochwil,m,US,International/Global Security,Assistant Professor,1,m,NA,Constructivism,US,214
rank_control,Hans Morgenthau,m,NA,International Relations Theory,Associate Professor,1,m,55,Constructivism,US,690
rank_control,Kenneth Waltz,m,US,International/Global Security,Associate Professor,0,m,NA,Liberalism,US,379
rank_control,Robert Gilpin,m,US,U.S. Foreign Policy,Other,1,m,NA,Realism,US,260
rank_control,Robert O. Keohane,m,US,International/Global Environmental Politics,Other,1,f,NA,Constructivism,US,557
rank_control,Kenneth Waltz,m,US,International/Global Security,Assistant Professor,0,m,38,Non-paradigmatic,US,402
rank_control,Ernst Haas,m,US,International/Global Security,Associate Professor,1,m,NA,Other,US,267
rank_control,Anne-Marie Slaughter,f,US,Development Studies,Assistant Professor,1,f,NA,Constructivism,US,84
rank_control,Robert Jervis,m,US,International/Global Security,Full Professor,1,m,47,Liberalism,US,2
rank_control,David A. Baldwin,m,US,International/Global Political Economy,Associate Professor,1,m,NA,Liberalism,US,622
rank_control,Kenneth Waltz,m,US,International/Global Security,Assistant Professor,1,f,NA,Non-paradigmatic,US,691
rank_control,James Fearon,m,US,International/Global Security,Assistant Professor,1,m,NA,Non-paradigmatic,US,382
rank_control,Peter J. Katzenstein,m,US,International/Global Security,Associate Professor,1,m,NA,Constructivism,US,420
rank_control,David A. Lake,m,US,International/Global Security,Associate Professor,1,m,NA,Constructivism,US,532
rank_control,James Fearon,m,US,International/Global Security,Associate Professor,1,m,NA,Realism,US,744
rank_control,Joseph S. Nye Jr.,m,US,International/Global Security,Full Professor,1,m,NA,Non-paradigmatic,US,172
rank_control,Robert O. Keohane,m,US,U.S. Foreign Policy,Other,1,m,NA,Non-paradigmatic,US,615
rank_control,David Hume,m,NA,International Relations Theory,Other,1,m,NA,Constructivism,US,215
rank_control,Audie Klotz,f,US,NA,NA,NA,NA,NA,NA,US,540
rank_control,William C. Wohlforth,m,US,International/Global Security,Associate Professor,1,m,43,Liberalism,US,275
rank_control,Robert O. Keohane,m,US,International/Global Political Economy,Assistant Professor,1,m,NA,Realism,US,247
rank_control,Alexander Wendt,m,US,International Law,Full Professor,1,m,NA,Constructivism,US,703
rank_control,Alastair Smith,m,US,International Organization(s),Full Professor,1,m,45,Non-paradigmatic,US,206
rank_control,Kathryn A. Sikkink,f,US,International/Global Political Economy,Associate Professor,1,f,46,Constructivism,US,722
rank_control,Kathryn A. Sikkink,f,US,International/Global Environmental Politics,Associate Professor,1,m,NA,Non-paradigmatic,US,43
rank_control,Alexander Wendt,m,US,International/Global Security,Full Professor,1,m,NA,Constructivism,US,578
rank_control,Kenneth Waltz,m,US,International Relations of a particular region/country,Assistant Professor,1,f,NA,Realism,US,240
rank_control,Francis Fukuyama,m,US,International/Global Security,Full Professor,1,m,NA,Other,US,153
rank_control,Kenneth Waltz,m,US,Other,Other,1,m,NA,Constructivism,US,147
rank_control,David A. Lake,m,US,International/Global Health,Associate Professor,0,m,49,Realism,US,301
rank_control,Stephen M. Walt,m,US,International Relations Theory,Associate Professor,1,m,40,Realism,US,404
rank_control,Robert O. Keohane,m,US,Comparative Foreign Policy,Associate Professor,1,m,46,Non-paradigmatic,US,78
rank_control,Robert Jervis,m,US,Other,Full Professor,0,m,NA,Non-paradigmatic,US,16
rank_control,Robert O. Keohane,m,US,Human Rights,Full Professor,1,m,NA,Liberalism,US,397
rank_control,Robert Jervis,m,US,Other,Associate Professor,1,m,NA,Realism,US,748
rank_control,Nicholas G. Onuf,m,US,International Law,Emeritus,1,m,NA,Constructivism,US,681
rank_control,Elinor Ostrom,f,NA,Other,Full Professor,1,f,NA,Other,US,413
rank_control,James Fearon,m,US,International/Global Security,Assistant Professor,1,m,NA,Liberalism,US,686
rank_control,Alexander Wendt,m,US,Human Security,Other,1,m,NA,Constructivism,US,635
rank_control,Michael J. Shapiro,m,US,NA,NA,NA,NA,NA,NA,US,442
rank_control,Bruce Martin Russett,m,US,International/Global Security,Assistant Professor,1,f,NA,Non-paradigmatic,US,132
rank_control,Samuel P. Huntington,m,US,Other,Associate Professor,1,m,NA,Liberalism,US,476
rank_control,Jack L. Snyder,m,US,Other,Full Professor,1,m,NA,Non-paradigmatic,US,210
rank_control,Michel Foucault,m,NA,International Relations Theory,Full Professor,1,m,NA,Other,US,310
rank_control,James Fearon,m,US,International/Global Political Economy,Full Professor,1,m,NA,Non-paradigmatic,US,208
rank_control,Martha Finnemore,f,US,International/Global Security,Associate Professor,0,m,NA,Realism,US,464
rank_control,Anne-Marie Slaughter,f,US,International/Global Security,Associate Professor,1,f,NA,Liberalism,US,193
rank_control,Robert Jervis,m,US,International/Global Security,Associate Professor,1,m,NA,Realism,US,515
rank_control,Robert O. Keohane,m,US,European Studies/European Integration,Full Professor,1,m,NA,Liberalism,US,196
rank_control,Robert O. Keohane,m,US,International/Global Ethics,Other,0,m,NA,Other,US,490
rank_control,John J. Mearsheimer,m,US,U.S. Foreign Policy,Full Professor,1,m,NA,Realism,US,422
rank_control,Quincy Wright,m,NA,U.S. Foreign Policy,Emeritus,1,m,NA,Realism,US,363
rank_control,Deborah Avant,f,US,International/Global Political Economy,Full Professor,1,f,NA,Constructivism,US,601
rank_control,Martha Finnemore,f,US,International/Global Political Economy,Associate Professor,1,m,44,Non-paradigmatic,US,527
rank_control,Alexander Wendt,m,US,International/Global Ethics,Associate Professor,1,f,NA,Constructivism,US,187
rank_control,Robert Gilpin,m,US,International Relations of a particular region/country,Associate Professor,1,m,NA,Liberalism,US,282
rank_control,Erica Chenoweth,f,US,International/Global Security,Full Professor,1,f,NA,Non-paradigmatic,US,227
rank_control,Robert O. Keohane,m,US,International/Global Political Economy,Associate Professor,0,m,51,Non-paradigmatic,US,388
rank_control,Robert Jervis,m,US,U.S. Foreign Policy,Full Professor,1,m,NA,Constructivism,US,657
rank_control,Joseph S. Nye Jr.,m,US,Comparative Foreign Policy,Associate Professor,1,m,NA,Non-paradigmatic,US,401
rank_control,James Fearon,m,US,International Relations Theory,Full Professor,1,m,NA,Constructivism,US,415
rank_control,Joseph S. Nye Jr.,m,US,NA,NA,NA,NA,NA,NA,US,293
rank_control,Kenneth Waltz,m,US,International/Global Political Economy,Other,1,m,NA,Non-paradigmatic,US,15
rank_control,Nicholas G. Onuf,m,US,International/Global Ethics,Other,1,m,NA,Other,US,55
rank_control,Daniel L. Byman,m,US,International/Global Security,Assistant Professor,1,f,NA,Constructivism,US,342
rank_control,Kenneth Waltz,m,US,Human Security,Full Professor,1,f,NA,Liberalism,US,393
rank_control,Samuel P. Huntington,m,US,International Relations of a particular region/country,Full Professor,1,m,NA,Realism,US,455
rank_control,Robert Jervis,m,US,Religion in IR,Other,1,m,NA,Realism,US,535
rank_control,Kenneth Waltz,m,US,International Relations Theory,Full Professor,1,m,NA,Non-paradigmatic,US,698
rank_control,Thomas C. Schelling,m,US,International/Global Security,Other,1,m,NA,Realism,US,66
rank_control,James Fearon,m,US,International/Global Security,Associate Professor,1,f,NA,Non-paradigmatic,US,51
rank_control,Duncan Snidal,m,US,International Organization(s),Associate Professor,1,m,44,Liberalism,US,45
rank_control,Sara M. Mitchell,f,US,International/Global Security,Other,0,f,NA,Other,US,666
rank_control,Stanley Hoffmann,m,NA,European Studies/European Integration,Emeritus,1,m,NA,Non-paradigmatic,US,461
rank_control,David A. Lake,m,US,International Law,Associate Professor,1,f,NA,Liberalism,US,573
rank_control,James N. Rosenau,m,US,International Organization(s),Emeritus,1,f,NA,Non-paradigmatic,US,766
rank_control,Alexander George,m,US,U.S. Foreign Policy,Associate Professor,1,m,55,Realism,US,91
rank_control,Halford Mackinder,m,NA,International Relations Theory,Full Professor,1,m,NA,Realism,US,103
rank_control,Alexander Wendt,m,US,Other,Associate Professor,1,m,NA,Constructivism,US,633
rank_control,G. John Ikenberry,m,US,International/Global Security,Full Professor,1,m,62,Liberalism,US,112
rank_control,Joseph S. Nye Jr.,m,US,Development Studies,Assistant Professor,0,m,NA,Constructivism,US,352
rank_control,John J. Mearsheimer,m,US,Comparative Foreign Policy,Assistant Professor,1,m,NA,Constructivism,US,364
rank_control,Robert O. Keohane,m,US,European Studies/European Integration,Full Professor,1,m,NA,Realism,US,729
rank_control,Robert O. Keohane,m,US,International/Global Security,Associate Professor,1,f,41,Non-paradigmatic,US,318
rank_control,Barry R. Posen,m,US,International/Global Security,Associate Professor,1,f,NA,Other,US,440
rank_control,Alexander Wendt,m,US,Comparative Foreign Policy,Full Professor,0,m,NA,Realism,US,225
rank_control,Joseph S. Nye Jr.,m,US,Gender in IR,Associate Professor,1,f,NA,Other,US,518
rank_control,Vipin Narang,m,US,International/Global Security,Full Professor,1,m,NA,Realism,US,49
rank_control,Hans Morgenthau,m,NA,Other,Full Professor,1,m,NA,Other,US,99
rank_control,Evelyn Goh,f,non-US,International/Global Security,Full Professor,0,m,NA,Non-paradigmatic,US,671
rank_control,Hans Morgenthau,m,NA,Global Civil Society,Full Professor,1,m,NA,Liberalism,US,340
rank_control,Robert Jervis,m,US,Other,Other,0,m,NA,Non-paradigmatic,US,194
rank_control,Joseph S. Nye Jr.,m,US,International/Global Environmental Politics,Associate Professor,1,f,NA,Liberalism,US,668
rank_control,Alexander Wendt,m,US,International/Global Security,Full Professor,1,m,NA,Other,US,572
rank_control,Alexander Wendt,m,US,International Organization(s),Assistant Professor,1,f,NA,Liberalism,US,122
rank_control,Kathryn A. Sikkink,f,US,International/Global Security,Associate Professor,1,f,48,Constructivism,US,587
rank_control,Robert Jervis,m,US,International/Global Security,Associate Professor,1,m,NA,Realism,US,537
rank_control,Michael W. Doyle,m,US,U.S. Foreign Policy,Other,1,f,NA,Liberalism,US,263
rank_control,Christopher Layne,m,US,European Studies/European Integration,Associate Professor,1,f,NA,Non-paradigmatic,US,105
rank_control,Peter J. Katzenstein,m,US,International/Global Security,Associate Professor,1,f,NA,Constructivism,US,272
rank_control,Kenneth Waltz,m,US,International/Global Ethics,Assistant Professor,1,f,NA,Realism,US,277
rank_control,Alexander Wendt,m,US,International/Global Security,Associate Professor,1,m,NA,Non-paradigmatic,US,582
rank_control,Robert O. Keohane,m,US,Development Studies,Full Professor,1,m,NA,Constructivism,US,170
rank_control,Joseph S. Nye Jr.,m,US,International/Global Security,Other,1,m,NA,Realism,US,376
rank_control,Stephen D. Krasner,m,US,U.S. Foreign Policy,Associate Professor,1,m,NA,Non-paradigmatic,US,451
rank_control,Kristian Skrede Gleditsch,m,non-US,International/Global Security,Assistant Professor,1,f,NA,Non-paradigmatic,US,486
rank_control,Robert Jervis,m,US,International/Global Security,Associate Professor,1,f,NA,Realism,US,751
rank_control,Peter J. Katzenstein,m,US,International Relations of a particular region/country,Assistant Professor,0,f,NA,Constructivism,US,356
rank_control,Martha Finnemore,f,US,International Relations of a particular region/country,Associate Professor,1,f,50,Constructivism,US,6
rank_control,Benjamin Barber,m,US,International Law,Associate Professor,1,m,NA,Other,US,30
rank_control,Anthony Downs,m,NA,International/Global Political Economy,Other,0,f,NA,Constructivism,US,640
rank_control,John J. Mearsheimer,m,US,International/Global Security,Full Professor,1,m,NA,Realism,US,308
rank_control,Anne-Marie Slaughter,f,US,International Law,Associate Professor,1,f,NA,Constructivism,US,433
rank_control,David A. Lake,m,US,International/Global Security,Full Professor,1,m,NA,Non-paradigmatic,US,521
rank_control,John J. Mearsheimer,m,US,International Relations of a particular region/country,Associate Professor,1,f,NA,Non-paradigmatic,US,73
rank_control,Michael N. Barnett,m,US,International Organization(s),Assistant Professor,1,m,NA,Constructivism,US,638
rank_control,Kenneth Waltz,m,US,Other,Full Professor,1,m,NA,Liberalism,US,636
rank_control,Samuel P. Huntington,m,US,Other,Full Professor,1,m,NA,Other,US,9
rank_control,R. B. J. Walker,m,non-US,International Relations Theory,Assistant Professor,1,f,45,Non-paradigmatic,US,608
rank_control,Robert O. Keohane,m,US,International Law,Full Professor,0,m,NA,Realism,US,445
rank_control,Robert J. Art,m,US,International/Global Security,Associate Professor,1,m,NA,Realism,US,273
rank_control,Robert Axelrod,m,US,International/Global Political Economy,Full Professor,1,m,NA,Other,US,179
rank_control,Cynthia Weber,f,non-US,Gender in IR,Other,1,m,NA,Other,US,168
rank_control,Kenneth Waltz,m,US,Comparative Foreign Policy,Associate Professor,1,m,NA,Realism,US,188
rank_control,Samuel P. Huntington,m,US,I am not an IR scholar,Associate Professor,1,m,NA,Liberalism,US,743
rank_control,Robert Jervis,m,US,International/Global Security,Other,0,f,NA,Non-paradigmatic,US,366
rank_control,Kenneth Waltz,m,US,International/Global Security,Associate Professor,1,m,NA,Realism,US,416
