genderpolicy_Response,gender,genderpolicy_2__Response,ResponseId
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,814
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1085
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,21
Approve,m,Change my behavior by causing me to cite more women,649
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,838
Disapprove,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,104
Approve,m,Change my behavior by causing me to cite more women,453
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,442
Approve,f,Change my behavior by causing me to cite more women,548
Approve,m,Change my behavior by causing me to cite more women,1381
Approve,f,Change my behavior by causing me to cite more women,1065
Approve,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,877
Approve,m,Change my behavior by causing me to cite more women,1155
Approve,f,Change my behavior by causing me to cite more women,434
Don't know,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,146
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,529
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1171
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,121
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1041
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,585
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,757
Approve,m,Change my behavior by causing me to cite more women,637
Don't know,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,261
Approve,m,Change my behavior by causing me to cite more women,249
Don't know,m,Change my behavior by causing me to cite more women,1221
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1142
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,131
Approve,m,Change my behavior by causing me to cite more women,1088
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,275
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,323
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,944
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1077
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,734
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1212
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,409
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,203
Approve,m,Change my behavior by causing me to cite more women,403
Approve,f,Change my behavior by causing me to cite more women,1228
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,673
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,863
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,567
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1130
Approve,m,Change my behavior by causing me to cite more women,1190
Approve,f,Change my behavior by causing me to cite more women,1159
Approve,f,Change my behavior by causing me to cite more women,854
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,350
Approve,m,Change my behavior by causing me to cite more women,551
Disapprove,m,Change my behavior by causing me to cite more women,708
Approve,f,Change my behavior by causing me to cite more women,90
Don't know,m,Change my behavior by causing me to cite more women,1287
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,568
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,399
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1250
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,710
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,493
Approve,f,Change my behavior by causing me to cite more women,1020
Approve,m,Change my behavior by causing me to cite more women,752
Approve,m,Change my behavior by causing me to cite more women,505
Approve,f,Change my behavior by causing me to cite more women,141
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,4
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1131
Approve,f,Change my behavior by causing me to cite more women,1251
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,720
Approve,m,Change my behavior by causing me to cite more women,778
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,507
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,967
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1336
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,330
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1121
Approve,m,Change my behavior by causing me to cite more women,401
Approve,f,Change my behavior by causing me to cite more women,1031
Approve,f,Change my behavior by causing me to cite more women,564
Disapprove,m,Change my behavior by causing me to cite more women,518
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,473
Approve,m,Change my behavior by causing me to cite more women,1271
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,388
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1300
Don't know,m,Change my behavior by causing me to cite more women,83
Approve,m,Change my behavior by causing me to cite more women,1058
Approve,f,Change my behavior by causing me to cite more women,459
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,283
Don't know,m,Change my behavior by causing me to cite more women,271
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,561
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,755
Approve,f,Change my behavior by causing me to cite more women,880
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,132
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,25
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,745
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1346
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1225
Approve,f,Change my behavior by causing me to cite more women,245
Approve,f,Change my behavior by causing me to cite more women,766
Approve,m,Change my behavior by causing me to cite more women,1235
Approve,m,Change my behavior by causing me to cite more women,1150
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,234
Approve,m,Change my behavior by causing me to cite more women,868
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,197
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,392
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,577
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,390
Approve,m,Change my behavior by causing me to cite more women,851
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,366
Approve,f,Change my behavior by causing me to cite more women,133
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,932
Approve,m,Change my behavior by causing me to cite more women,375
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,898
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,780
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,675
Approve,f,Change my behavior by causing me to cite more women,1100
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,951
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1291
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,354
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,528
Approve,f,Change my behavior by causing me to cite more women,431
Approve,m,Change my behavior by causing me to cite more women,729
Approve,m,Change my behavior by causing me to cite more women,1282
Approve,m,Change my behavior by causing me to cite more women,1365
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1181
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1398
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,750
Approve,m,Change my behavior by causing me to cite more women,772
Approve,m,Change my behavior by causing me to cite more women,1375
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,24
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,98
Approve,m,Change my behavior by causing me to cite more women,971
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,629
Approve,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,738
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,831
Disapprove,m,Change my behavior by causing me to cite fewer women,1095
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,974
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1264
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,119
Don't know,f,Change my behavior by causing me to cite more women,93
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,86
Approve,f,Change my behavior by causing me to cite more women,1192
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,842
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,993
Don't know,f,Change my behavior by causing me to cite more women,1049
Approve,f,Change my behavior by causing me to cite more women,1384
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,154
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,177
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1146
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,198
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1404
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,651
Approve,m,Change my behavior by causing me to cite more women,677
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,284
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1312
Approve,f,Change my behavior by causing me to cite more women,595
Approve,f,Change my behavior by causing me to cite more women,809
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,429
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,937
Don't know,m,Change my behavior by causing me to cite more women,91
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,169
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1204
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,627
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,369
Approve,f,Change my behavior by causing me to cite more women,1201
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1046
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,384
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,754
Don't know,f,Change my behavior by causing me to cite more women,217
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1075
Approve,m,Change my behavior by causing me to cite more women,979
Approve,f,Change my behavior by causing me to cite more women,1207
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,496
Approve,f,Change my behavior by causing me to cite more women,180
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,467
Approve,f,Change my behavior by causing me to cite more women,515
Approve,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,521
Approve,m,Change my behavior by causing me to cite more women,1062
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,328
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,704
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,824
Approve,f,Change my behavior by causing me to cite more women,892
Approve,f,Change my behavior by causing me to cite more women,1350
Approve,f,Change my behavior by causing me to cite more women,660
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,10
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,59
Approve,f,Change my behavior by causing me to cite more women,714
Approve,f,Change my behavior by causing me to cite more women,1156
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,572
Approve,f,Change my behavior by causing me to cite more women,800
Approve,m,Change my behavior by causing me to cite more women,941
Approve,f,Change my behavior by causing me to cite more women,126
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1153
Approve,m,Change my behavior by causing me to cite more women,1151
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,14
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1112
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,805
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,815
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,516
Approve,m,Change my behavior by causing me to cite more women,345
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,325
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,355
Approve,f,Change my behavior by causing me to cite more women,159
Approve,m,Change my behavior by causing me to cite more women,1334
Approve,f,Change my behavior by causing me to cite more women,680
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,946
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,773
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,926
Approve,m,Change my behavior by causing me to cite more women,76
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,940
Approve,f,Change my behavior by causing me to cite more women,414
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,88
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,207
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1328
Approve,m,Change my behavior by causing me to cite more women,1175
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1167
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,777
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,395
Disapprove,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1033
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,921
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,571
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,18
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,15
Don't know,m,Change my behavior by causing me to cite more women,1323
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,87
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1305
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,530
Approve,m,Change my behavior by causing me to cite more women,818
Approve,m,Change my behavior by causing me to cite more women,290
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,924
Approve,f,Change my behavior by causing me to cite more women,1270
Approve,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,2
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,929
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,609
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1292
Approve,m,Change my behavior by causing me to cite more women,1295
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1183
Approve,m,Change my behavior by causing me to cite more women,189
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,406
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,125
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,75
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1073
Disapprove,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1030
Approve,f,Change my behavior by causing me to cite more women,964
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,78
Approve,m,Change my behavior by causing me to cite more women,727
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,252
Don't know,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1311
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,768
Disapprove,m,Change my behavior by causing me to cite more women,531
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,205
Approve,f,Change my behavior by causing me to cite more women,489
Approve,f,Change my behavior by causing me to cite more women,311
Approve,m,Change my behavior by causing me to cite more women,788
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,376
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,455
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,183
Approve,f,Change my behavior by causing me to cite more women,1186
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,77
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1105
Approve,m,Change my behavior by causing me to cite more women,1164
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,277
Approve,m,Change my behavior by causing me to cite more women,404
Approve,m,Change my behavior by causing me to cite more women,897
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,317
Approve,m,Change my behavior by causing me to cite more women,342
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,771
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1176
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,616
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,907
Approve,f,Change my behavior by causing me to cite more women,559
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1102
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1239
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,462
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,763
Approve,m,Change my behavior by causing me to cite more women,1331
Approve,f,Change my behavior by causing me to cite more women,935
Approve,f,Change my behavior by causing me to cite more women,784
Approve,f,Change my behavior by causing me to cite more women,1301
Approve,m,Change my behavior by causing me to cite more women,41
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,389
Approve,m,Change my behavior by causing me to cite more women,810
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,970
Approve,m,Change my behavior by causing me to cite more women,347
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,280
Don't know,f,Change my behavior by causing me to cite more women,1099
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,262
Approve,m,Change my behavior by causing me to cite more women,807
