pubID,DOI,Title,is_IR,journal,year,volume,number,Paradigm,Seriously_Realism,Seriously_Liberalism,Seriously_Marxism,Seriously_Constructivism,Seriously_NonParadigmatic,Seriously_AtheoreticNone,Synthesis_Realism,Synthesis_Liberalism,Synthesis_Marxism,Synthesis_Constructivism,Synthesis_NonParadigmatic,Synthesis_NoSynthesis,Ideational,Material,Epistemology,Contemporary,PolicyPrescription,IssueArea,Level_2,Level_1,Level_3,Level_None,Methodology_AnalyticNonFormal,Methodology_Counterfactual,Methodology_Descriptive,Methodology_Experimental,Methodology_FormalModeling,Methodology_PolicyAnalysis,Methodology_Qualitative,Methodology_Quantitative,Region_Antarctica,Region_CanadaWestEurope,Region_EastAsia,Region_FSUEasternEurope,Region_Global,Region_LatinAmerica,Region_MiddleEastNorthAfrica,Region_None,Region_Oceania,Region_SouthAsia,Region_SoutheastAsia,Region_SubSaharanAfrica,Region_UnitedStates,Time_6,Time_9,Time_2,Time_8,Time_4,Time_5,Time_1,Time_3,Time_None,Time_7,Focus_Alliances,Focus_BalanceofPower,Focus_BargainingDeterrenceStrategy,Focus_Development,Focus_Diplomacy,Focus_DomesticPolitics,Focus_EconomicInterdependence,Focus_Environment,Focus_EthnicityReligion,Focus_ForeignAid,Focus_ForeignPolicy,Focus_Gender,Focus_InterstateWar,Focus_IGO,Focus_IntlLaw,Focus_ItnlRegimes,Focus_InterstateCrisis,Focus_IntrastateConflict,Focus_Migration,Focus_Humanitarian,Focus_MonetaryPolicy,Focus_NorthSouthRelations,Focus_PublicHealth,Focus_PublicOpinion,Focus_RegimeType,Focus_RegionalIntegration,Focus_Sanctions,Focus_Terrorism,Focus_IRDiscipline,Focus_Trade,Focus_NGO,Focus_WeaponSystems,Focus_WMDProliferation,Focus_Other
22271,10.1080/09636410008429430,The lure of regional security arrangements: The United States and regional security cooperation in Asia and Europe,1,SS,2000,10,2,Realist,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Positivist,Yes,No,International Security,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
22272,10.1080/09636410008429431,Ties that blind: Will Germany and Japan rely too much on the United States?,1,SS,2000,10,2,Realist,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Positivist,Yes,Yes,International Security,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
4627,10.1080/09636410108429437,"Malign Autocracies and Major Power Warfare: Evil, Tragedy and International Relations Theory ",1,SS,2001,10,3,Realist,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Positivist,No,No,International Security,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4630,10.1080/09636410108429440,"Of Gauchos and Gringos: Why Argentina Never Wanted the Bomb, and Why the United States Thought it Did",1,SS,2001,10,3,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Positivist,Yes,No,International Security,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
4631,10.1080/09636410108429441,Evaluating Realist Explanations of Internal Conflict: The Case of Liberia,1,SS,2001,10,3,Realist,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Positivist,Yes,No,International Security,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
1762,10.2307/2538951,The Long Peace: Elements of Stability in the Postwar International System,1,IS,1986,10,4,Realist,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Positivist,Yes,No,International Security,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
21199,10.2307/2538954,Extending Deterrence with...What? (1),1,IS,1986,10,4,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,N/A,Yes,International Security,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
21200,10.2307/2538954,Extending Deterrence with...What? (2),1,IS,1986,10,4,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,N/A,Yes,International Security,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
4635,10.1080/09636410108429447,"Realism, Power Shifts, and Major War",1,SS,2001,10,4,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Positivist,No,No,International Security,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4637,10.1080/09636410108429449,Theory and History in the Study of Major War,1,SS,2001,10,4,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Positivist,No,No,International Security,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4638,10.1080/714005312,Between War and Peace: Systemic Effects and Regional Transitions from the Cold War to the Post-Cold War,1,SS,2001,11,1,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,Yes,No,International Security,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4645,10.1080/714005320,The Sources of American Expansion,1,SS,2001,11,1,Realist,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Positivist,No,No,US Foreign Policy,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1772,10.2307/2538957,A Strategic Misstep: The Maritime Strategy and Deterrence in Europe,1,IS,1986,11,2,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,Yes,Yes,US Foreign Policy,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1776,10.2307/2538961,"1914 Revisited: Allies, Offense, and Instability",1,IS,1986,11,2,Realist,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Positivist,No,No,International Security,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4647,10.1080/714005332,Democracy and Preventive War: Israel and the 1956 Sinai Campaign,1,SS,2001,11,2,Realist,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Positivist,No,No,International Security,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
4649,10.1080/714866728,Shaping Military Doctrine in France: Decisionmakers between International Power and Domestic Interests ,1,SS,2001,11,2,Realist,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Positivist,Yes,No,Comparative Foreign Policy,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
4652,10.1080/714005331,Black Box or Pandora's Box: State Level Variables and Progressivity in Realist Research Programs,1,SS,2001,11,2,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,N/A,No,IR theory,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
4653,10.1080/714005337,The Logic of Reassurance and Japan's Grand Strategy,1,SS,2002,11,3,Realist,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Positivist,Yes,No,Comparative Foreign Policy,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
4657,10.1080/714005344,"Kenneth Waltz, Neorealism, and Foreign Policy",1,SS,2002,11,3,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,Yes,No,IR theory,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
4659,10.1080/714005346,Exhange: A Debate Miscast-Or What Can We Learn From the Case of the EDC?,1,SS,2002,11,3,Realist,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Positivist,Yes,No,IR theory,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
4660,10.1080/714005345,Exit Strategies Redux,1,SS,2002,11,3,Realist,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Positivist,No,No,IR theory,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
1786,10.2307/2538838,Deterrence Failures: A Second Look,1,IS,1987,11,4,Realist,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Positivist,No,No,International Security,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4664,10.1080/714005356,"The Roots of Revisionism: Fascist Italy, 1922-39",1,SS,2002,11,4,Realist,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Positivist,No,No,International Security,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
1816,10.2307/2538802,The Gorbachev Revolution: A Waning of Soviet Expansionism?,1,IS,1988,12,3,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Non-Positivist/Post-Positivist,Yes,Yes,Comparative Foreign Policy,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4668,10.1080/09636410390443062,Alliance Cohesion and Coalition Warfare: The Central Powers and Triple Entente,1,SS,2003,12,3,Realist,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Positivist,No,No,International Security,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1821,10.2307/2538994,Limiting Offensive Conventional Forces: Soviet Proposals and Western Options,1,IS,1988,12,4,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,Yes,Yes,International Security,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
9387,10.2307/2538900,Review: I Exist; Therefore I Deter,1,IS,1988,13,1,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,Yes,No,International Security,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
4678,10.1080/09636410490493868,"Nuclear Proliferation, the Kargil Conflict, and South Asian Security",1,SS,2003,13,1,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,Yes,Yes,International Security,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
4680,10.1080/09636410490493877,The Question of Realism: A Historian's View,1,SS,2003,13,1,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,No,No,IR theory,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4683,10.1080/09636410490521271,Balancing What? Threat Perception and Alliance Choice in the Gulf,1,SS,2003,13,2,Realist,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Positivist,No,No,International Security,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
21192,10.2307/2538783,The Tank Gap Data Flap (1),1,IS,1989,13,4,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,N/A,No,International Security,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
21193,10.2307/2538783,The Tank Gap Data Flap (2),1,IS,1989,13,4,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,N/A,No,International Security,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
21201,10.2307/2538782,Reassessing Net Assessment (1),1,IS,1989,13,4,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,N/A,No,International Security,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
21202,10.2307/2538782,Reassessing Net Assessment (2),1,IS,1989,13,4,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,N/A,No,International Security,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
21203,10.2307/2538782,Reassessing Net Assessment (3),1,IS,1989,13,4,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,N/A,No,International Security,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
1853,10.2307/2538764,The Case for Finite Containment: Analyzing U.S. Grand Strategy,1,IS,1989,14,1,Realist,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Non-Positivist/Post-Positivist,Yes,Yes,US Foreign Policy,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
